glx@glx-tfp,Crash
shaders@glsl-uniform-interstage-limits@subdivide 5,Crash
shaders@glsl-uniform-interstage-limits@subdivide 5, statechanges,Crash
spec@!opengl 1.1@ppgtt_memory_alignment,Crash
spec@!opengl 3.2@glsl-resource-not-bound buffer,Crash
spec@arb_fragment_program@fp-abs-01,Crash
spec@arb_gpu_shader_fp64@execution@arb_gpu_shader_fp64-fs-non-uniform-control-flow-ssbo,Crash
spec@arb_gpu_shader_fp64@execution@arb_gpu_shader_fp64-vs-non-uniform-control-flow-ssbo,Crash
spec@arb_shader_storage_buffer_object@array-ssbo-binding,Crash
spec@arb_shading_language_420pack@active sampler conflict,Crash
spec@arb_tessellation_shader@arb_tessellation_shader-tes-gs-max-output -small -scan 1 50,Crash
spec@arb_texture_buffer_object@render-no-bo,Crash
spec@arb_uniform_buffer_object@maxblocks,Crash
spec@glsl-1.50@gs-max-output,Crash
glx@extension string sanity,Fail
glx@glx-copy-sub-buffer,Fail
glx@glx-multi-window-single-context,Fail
glx@glx-multithread,Fail
glx@glx-multithread-buffer,Fail
glx@glx-multithread-texture,Fail
glx@glx-query-drawable-glx_fbconfig_id-window,Fail
glx@glx-swap-copy,Fail
glx@glx-swap-pixmap-bad,Fail
glx@glx-visuals-depth,Fail
glx@glx-visuals-depth -pixmap,Fail
glx@glx-visuals-stencil,Fail
glx@glx-visuals-stencil -pixmap,Fail
glx@glx_arb_create_context_es2_profile@invalid opengl es version,Fail
glx@glx_ext_import_context@free context,Fail
glx@glx_ext_import_context@get context id,Fail
glx@glx_ext_import_context@get current display,Fail
glx@glx_ext_import_context@import context, multi process,Fail
glx@glx_ext_import_context@import context, single process,Fail
glx@glx_ext_import_context@imported context has same context id,Fail
glx@glx_ext_import_context@make current, multi process,Fail
glx@glx_ext_import_context@make current, single process,Fail
glx@glx_ext_import_context@query context info,Fail
shaders@glsl-bug-110796,Fail
shaders@glsl-fs-flat-color,Fail
shaders@glsl-fs-pointcoord,Fail
shaders@point-vertex-id divisor,Fail
shaders@point-vertex-id gl_instanceid,Fail
shaders@point-vertex-id gl_instanceid divisor,Fail
shaders@point-vertex-id gl_vertexid,Fail
shaders@point-vertex-id gl_vertexid divisor,Fail
shaders@point-vertex-id gl_vertexid gl_instanceid,Fail
shaders@point-vertex-id gl_vertexid gl_instanceid divisor,Fail
spec@!opengl 1.0@gl-1.0-dlist-materials,Fail
spec@!opengl 1.0@gl-1.0-dlist-shademodel,Fail
spec@!opengl 1.0@gl-1.0-edgeflag,Fail
spec@!opengl 1.0@gl-1.0-edgeflag-quads,Fail
spec@!opengl 1.0@gl-1.0-no-op-paths,Fail
spec@!opengl 1.0@gl-1.0-swapbuffers-behavior,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@glbegin@end(gl_quads), glfrontface(gl_cw), glpolygonmode(gl_line), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_fill), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left middle,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: left top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right middle,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_ccw), glpolygonmode(gl_line), quadrant: right top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center middle,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: center top,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left bottom,Fail
spec@!opengl 1.1@clipflat@gldrawarrays(gl_quad_strip), glfrontface(gl_cw), glpolygonmode(gl_fill), quadrant: left middle,Fail
